date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-04-19,0.9691424236087177,7.936507936507937e-05,bull,0.0,-0.09963292982373537,0,0.5,2021-04
2021-04-20,0.9635599866327162,-0.005760182239484035,bull,1.0,-0.10481920823038098,10,0.5,2021-04
2021-04-21,0.9629837894704496,-0.0005979878474201392,bull,0.5,-0.10535451546510312,10,0.5,2021-04
2021-04-22,0.9642454750720849,0.001310183634896997,bull,0.25,-0.10418236559223097,10,0.5,2021-04
2021-04-23,0.96422968883905,-1.637159151171825e-05,bull,0.125,-0.10419703155261048,10,0.5,2021-04
2021-04-26,0.9637716673655274,-0.0004750128302666735,bull,0.0625,-0.10462254945601396,10,0.5,2021-04
2021-04-27,0.963468537565123,-0.0003145244985599129,bull,0.03125,-0.10490416759966822,10,0.5,2021-04
2021-04-28,0.963819669350513,0.00036444551295608746,bull,0.015625,-0.10457795393988417,10,0.5,2021-04
2021-04-29,0.9638302033187982,1.0929397500680527e-05,bull,0.0078125,-0.104568167516412,10,0.5,2021-04
2021-04-30,0.9639034245115804,7.596897516820017e-05,bull,0.00390625,-0.10450014247776533,10,0.5,2021-04
2021-05-06,0.9639529900972094,5.1421734136905124e-05,bull,0.001953125,-0.10445409432217212,10,0.5,2021-05
2021-05-07,0.9640205411378328,7.007711093521423e-05,bull,0.0009765625,-0.10439133705239234,10,0.5,2021-05
2021-05-10,0.9641039012811017,8.647133511331262e-05,bull,0.00048828125,-0.10431389257556813,10,0.5,2021-05
2021-05-11,0.96417848412558,7.735975798799639e-05,bull,0.000244140625,-0.1042446025150646,10,0.5,2021-05
2021-05-12,0.9642554934263794,7.987037884296127e-05,bull,0.0001220703125,-0.10417305819211684,10,0.5,2021-05
2021-05-13,0.9643316678413921,7.899816545718652e-05,bull,6.103515625e-05,-0.10410228950714687,10,0.5,2021-05
2021-05-14,0.964409207065261,8.040721512602595e-05,bull,3.0517578125e-05,-0.10403025286720842,10,0.5,2021-05
2021-05-17,0.9644858238593559,7.944427897781467e-05,bull,1.52587890625e-05,-0.1039590731966615,10,0.5,2021-05
2021-05-18,0.9645624553951676,7.945325262021615e-05,bull,7.62939453125e-06,-0.10388787983054615,10,0.5,2021-05
2021-05-19,0.9646390588896768,7.941786877642247e-05,bull,3.814697265625e-06,-0.10381671251577758,10,0.5,2021-05
2021-05-20,0.9647156230228874,7.93707579067581e-05,bull,1.9073486328125e-06,-0.10374558176902657,10,0.5,2021-05
2021-05-21,0.9647921768533279,7.935377909672607e-05,bull,9.5367431640625e-07,-0.10367446059390785,10,0.5,2021-05
2021-05-24,0.9794527440194777,0.015195570111239088,bull,1.0,-0.09005428301736829,10,0.5,2021-05
2021-05-25,0.9811919313098655,0.0017756724875265478,bull,0.5,-0.08843851744257958,10,0.5,2021-05
2021-05-26,0.9807880417052002,-0.0004116316000744829,bull,0.25,-0.08881374495421102,10,0.5,2021-05
2021-05-27,0.9804592220956144,-0.0003352606226867226,bull,0.125,-0.08911922982546122,10,0.5,2021-05
2021-05-28,0.9810057537263106,0.0005574241318553859,bull,0.0625,-0.08861148290292298,10,0.5,2021-05
2021-05-31,0.9817004639675317,0.000708161230025614,bull,0.03125,-0.08796607288962419,10,0.5,2021-05
2021-06-01,0.9817590460978557,5.967413938784011e-05,bull,0.015625,-0.08791164804993133,10,0.5,2021-06
2021-06-02,0.9818471876097337,8.97791695714469e-05,bull,0.0078125,-0.08782976151511741,10,0.5,2021-06
2021-06-03,0.9819359904080186,9.044462254971778e-05,bull,0.00390625,-0.0877472606221965,10,0.5,2021-06
2021-06-04,0.9820418216181096,0.00010777811499397984,bull,0.001953125,-0.08764893974154819,10,0.5,2021-06
