date,nav,daily_ret,timing,exposure,dd,n_positions,month
2021-07-12,1.662136925160738,0.024100369766822616,1,1.0,0.0,10,2021-07
2021-07-13,1.6918094673015323,0.017852044372291778,1,1.0,0.0,10,2021-07
2021-07-14,1.6628989114947514,-0.01708854121315069,1,1.0,-0.01708854121315073,10,2021-07
2021-07-15,1.6513250672116295,-0.006960040807723146,1,1.0,-0.023929645076685914,10,2021-07
2021-07-16,1.6628149972817996,0.00695800620865732,1,1.0,-0.017138141487043086,10,2021-07
2021-07-19,1.6733474652335902,0.00633411893025264,1,1.0,-0.010912577583212877,10,2021-07
2021-07-20,1.6567896446575845,-0.009895028330947585,1,1.0,-0.02069962564981093,10,2021-07
2021-07-21,1.6892685842740596,0.019603538518728363,1,1.0,-0.0015018730398319857,10,2021-07
2021-07-22,1.705801502500448,0.009787027581225705,1,1.0,0.0,10,2021-07
2021-07-23,1.69196835768807,-0.008109469239006274,1,1.0,-0.008109469239006278,10,2021-07
2021-07-26,1.6556991102305898,-0.02143612632746801,1,1.0,-0.029371759959418306,10,2021-07
2021-07-27,1.602964346868941,-0.03185045098822605,1,1.0,-0.060286707146618934,10,2021-07
2021-07-28,1.563172664683428,-0.024823809876518856,1,1.0,-0.08361397126684879,10,2021-07
2021-07-29,1.6116713383250567,0.031025794358712524,1,1.0,-0.05518236678617687,10,2021-07
2021-07-30,1.6791934760874592,0.04189572411989112,1,1.0,-0.015598547881441958,10,2021-07
2021-08-02,1.725485506073158,0.02756801443366712,1,1.0,0.0,10,2021-08
2021-08-03,1.7093156208336209,-0.009371208962708922,1,1.0,-0.009371208962708915,10,2021-08
2021-08-04,1.731623165502929,0.013050570881946734,1,1.0,0.0,10,2021-08
2021-08-05,1.7311086304811116,-0.0002971402970738616,1,1.0,-0.00029714029707380294,10,2021-08
2021-08-06,1.7270786605100596,-0.0023279705849147173,1,1.0,-0.0026244191481173134,10,2021-08
2021-08-09,1.7319464042350747,0.0028184840889514565,1,1.0,0.0,10,2021-08
2021-08-10,1.7341498573412513,0.001272240931236924,1,1.0,0.0,10,2021-08
2021-08-11,1.7678230886518604,0.019417717083710408,1,1.0,0.0,10,2021-08
2021-08-12,1.7782344008392181,0.005889340542156618,1,1.0,0.0,10,2021-08
2021-08-13,1.7612993189703403,-0.009523537426160179,1,1.0,-0.009523537426160182,10,2021-08
2021-08-16,1.7550297447671293,-0.003559630175112038,1,1.0,-0.013049267330076225,10,2021-08
