date,nav,daily_ret,big_trend,short_trend,invest,exposure,dd,n_positions,month
2021-06-01,1.4259630225704594,-0.01512997659190951,1,1,1,1.0,-0.015129976591909495,10,2021-06
2021-06-02,1.4260761942389175,7.936507936507937e-05,1,0,0,0.0,-0.015051812304337307,0,2021-06
2021-06-03,1.426189374889254,7.936507936507937e-05,1,0,0,0.0,-0.014973641813250296,0,2021-06
2021-06-04,1.4263025645221818,7.936507936507937e-05,1,0,0,0.0,-0.01489546511815603,0,2021-06
2021-06-07,1.4264157631384138,7.936507936507937e-05,1,0,0,0.0,-0.014817282218562221,0,2021-06
2021-06-08,1.426528970738663,7.936507936507937e-05,1,0,0,0.0,-0.014739093113976282,0,2021-06
2021-06-09,1.4266421873236423,7.936507936507937e-05,1,0,0,0.0,-0.014660897803905924,0,2021-06
2021-06-10,1.425200514307808,-0.0010105358082385663,1,1,1,1.0,-0.015656618249932776,10,2021-06
2021-06-11,1.3776529891811398,-0.033361989873937875,1,1,1,1.0,-0.048496272184356294,10,2021-06
2021-06-15,1.3692429448548393,-0.006104617340030772,1,1,1,1.0,-0.054304838340283615,10,2021-06
2021-06-16,1.369351614929828,7.936507936507937e-05,1,0,0,0.0,-0.05422978316872323,0,2021-06
2021-06-17,1.3694602936294256,7.936507936507937e-05,1,0,0,0.0,-0.05415472204040327,0,2021-06
2021-06-18,1.4293952899325906,0.043765413704928854,1,1,1,1.0,-0.012759412149648193,10,2021-06
2021-06-21,1.4843239171724785,0.038427877597440804,1,1,1,1.0,0.0,10,2021-06
2021-06-22,1.5131174587580574,0.019398421902699282,1,1,1,1.0,0.0,10,2021-06
2021-06-23,1.5206343511414901,0.004967818155771265,1,1,1,1.0,0.0,10,2021-06
2021-06-24,1.4546384575302034,-0.04340023856606009,1,1,1,1.0,-0.043400238566060165,10,2021-06
2021-06-25,1.4105538658625272,-0.03030621900546089,1,1,1,1.0,-0.07239116043664881,10,2021-06
2021-06-28,1.4711203045270034,0.04293805442689783,1,1,1,1.0,-0.032561441596606185,10,2021-06
2021-06-29,1.4097373248388154,-0.04172532966834687,1,1,1,1.0,-0.07292813437985797,10,2021-06
2021-06-30,1.4350644094613634,0.017965818295577796,1,1,1,1.0,-0.05627252969518427,10,2021-06
2021-07-01,1.384687868419605,-0.035104027881694096,1,1,1,1.0,-0.0894011651254851,10,2021-07
2021-07-02,1.384797764282178,7.936507936507937e-05,1,0,0,0.0,-0.08932889537668542,0,2021-07
2021-07-05,1.3849076688666448,7.936507936507937e-05,1,0,0,0.0,-0.08925661989219154,0,2021-07
2021-07-06,1.3850175821736979,7.936507936507937e-05,1,0,0,0.0,-0.089184338671548,0,2021-07
2021-07-07,1.3839031772649544,-0.000804614268502179,1,1,1,1.0,-0.0899171939486282,10,2021-07
2021-07-08,1.3800605644251958,-0.002776648614502663,1,1,1,1.0,-0.09244417411113347,10,2021-07
2021-07-09,1.3774253343028888,-0.0019095032422759336,1,1,1,1.0,-0.09417715490321459,10,2021-07
2021-07-12,1.4446753583915926,0.04882299055631854,1,1,1,1.0,-0.04995217469135672,10,2021-07
2021-07-13,1.4336093723418075,-0.007659842735952271,1,1,1,1.0,-0.05722939162485435,10,2021-07
2021-07-14,1.3913299949739433,-0.029491560381473162,1,1,1,1.0,-0.08503316794762814,10,2021-07
2021-07-15,1.3875216762353613,-0.0027371786365126393,1,1,1,1.0,-0.0875375956134396,10,2021-07
2021-07-16,1.3876317970033165,7.936507936507937e-05,1,0,0,0.0,-0.08746517796229777,0,2021-07
2021-07-19,1.3877419265110154,7.936507936507937e-05,1,0,0,0.0,-0.08739275456372324,0,2021-07
2021-07-20,1.3878520647591512,7.936507936507937e-05,1,0,0,0.0,-0.08732032541725998,0,2021-07
2021-07-21,1.462146851199889,0.05353220874706904,1,1,1,1.0,-0.03846256655828967,10,2021-07
2021-07-22,1.5046061220542524,0.02903899209543822,1,1,1,1.0,-0.010540488629107921,10,2021-07
2021-07-23,1.5047255352385425,7.936507936507937e-05,1,0,0,0.0,-0.010461960096459387,0,2021-07
2021-07-26,1.5048449579000693,7.936507936507937e-05,1,0,0,0.0,-0.010383425331387678,0,2021-07
2021-07-27,1.5049643900395853,7.936507936507937e-05,1,0,0,0.0,-0.010304884333398072,0,2021-07
2021-07-28,1.5050838316578425,7.936507936507937e-05,1,0,0,0.0,-0.010226337101995851,0,2021-07
2021-07-29,1.5844563571900616,0.052736282101170824,1,1,1,1.0,0.0,10,2021-07
2021-07-30,1.5919709304654848,0.004742682397860288,1,1,1,1.0,0.0,10,2021-07
2021-08-02,1.621278235751595,0.01840944751267593,1,1,1,1.0,0.0,10,2021-08
2021-08-03,1.5529242214051533,-0.042160569875752334,1,1,1,1.0,-0.042160569875752354,10,2021-08
2021-08-04,1.6029954625783733,0.03224319672721283,1,1,1,1.0,-0.011276764697174892,10,2021-08
2021-08-05,1.5969311307715295,-0.0037831247488932613,1,1,1,1.0,-0.015017228038454827,10,2021-08
2021-08-06,1.597057871337464,7.936507936507937e-05,1,0,0,0.0,-0.014939054802584754,0,2021-08
2021-08-09,1.5971846219621733,7.936507936507937e-05,1,0,0,0.0,-0.014860875362489706,0,2021-08
2021-08-10,1.597311382646456,7.936507936507937e-05,1,0,0,0.0,-0.014782689717677185,0,2021-08
2021-08-11,1.5974381533911106,7.936507936507937e-05,1,0,0,0.0,-0.014704497867654695,0,2021-08
2021-08-12,1.5975649341969353,7.936507936507937e-05,1,0,0,0.0,-0.01462629981192988,0,2021-08
2021-08-13,1.597691725064729,7.936507936507937e-05,1,0,0,0.0,-0.014548095550010106,0,2021-08
2021-08-16,1.5978185259952897,7.936507936507937e-05,1,0,0,0.0,-0.014469885081402878,0,2021-08
2021-08-17,1.5979453369894163,7.936507936507937e-05,1,0,0,0.0,-0.014391668405615699,0,2021-08
2021-08-18,1.5980721580479076,7.936507936507937e-05,1,0,0,0.0,-0.0143134455221558,0,2021-08
2021-08-19,1.5981989891715622,7.936507936507937e-05,1,0,0,0.0,-0.01423521643053055,0,2021-08
2021-08-20,1.5983258303611791,7.936507936507937e-05,1,0,0,0.0,-0.014156981130247178,0,2021-08
2021-08-23,1.6618602831603047,0.039750626306757825,1,1,1,1.0,0.0,10,2021-08
2021-08-24,1.6543673167773187,-0.004508782392185662,1,1,1,1.0,-0.004508782392185692,10,2021-08
2021-08-25,1.6303293834309631,-0.014529985634134254,1,1,1,1.0,-0.01897325548293402,10,2021-08
2021-08-26,1.6304587746518704,7.936507936507937e-05,1,0,0,0.0,-0.018895396217496127,0,2021-08
2021-08-27,1.6305881761419223,7.936507936507937e-05,1,0,0,0.0,-0.018817530772751372,0,2021-08
2021-08-30,1.6307175879019336,7.936507936507937e-05,1,0,0,0.0,-0.01873965914820954,0,2021-08
2021-08-31,1.6308470099327195,7.936507936507937e-05,1,0,0,0.0,-0.018661781343380004,0,2021-08
2021-09-01,1.6309764422350952,7.936507936507937e-05,1,0,0,0.0,-0.01858389735777227,0,2021-09
2021-09-02,1.6311058848098758,7.936507936507937e-05,1,0,0,0.0,-0.018506007190895853,0,2021-09
2021-09-03,1.6312353376578768,7.936507936507937e-05,1,0,0,0.0,-0.018428110842260124,0,2021-09
2021-09-06,1.6282503601272265,-0.0018298877309364963,1,1,1,1.0,-0.020224277199262092,10,2021-09
2021-09-07,1.6382743352952374,0.006156286166721803,1,1,1,1.0,-0.014192497470494135,10,2021-09
2021-09-08,1.6341141800751036,-0.0025393520062585886,1,1,1,1.0,-0.016695809729827135,10,2021-09
2021-09-09,1.6174118536325548,-0.010221027787532679,1,1,1,1.0,-0.02674618918217586,10,2021-09
2021-09-10,1.6053156163379945,-0.007478761372617115,1,1,1,1.0,-0.03402492218827269,10,2021-09
2021-09-13,1.6054430223392913,7.936507936507937e-05,1,0,0,0.0,-0.0339482574995574,0,2021-09
2021-09-14,1.625493844084422,0.012489276458976762,1,1,1,1.0,-0.021882970213793068,10,2021-09
2021-09-15,1.6256228515323652,7.936507936507937e-05,1,0,0,0.0,-0.021805341878095758,0,2021-09
2021-09-16,1.6257518692189947,7.936507936507937e-05,1,0,0,0.0,-0.021727707381419423,0,2021-09
2021-09-17,1.6242201470802315,-0.0009421623113366247,1,1,1,1.0,-0.02264939866574951,10,2021-09
2021-09-22,1.624349053441111,7.936507936507937e-05,1,0,0,0.0,-0.02257183115770712,0,2021-09
2021-09-23,1.5365537645469287,-0.054049521381006035,1,1,1,1.0,-0.07540135586794618,10,2021-09
2021-09-24,1.4972666072933014,-0.025568358335454358,1,1,1,1.0,-0.09904182531758982,10,2021-09
2021-09-27,1.3860257533584879,-0.07429595597267089,1,1,1,1.0,-0.16597937419701214,10,2021-09
2021-09-28,1.416639581685507,0.02208748881673983,1,1,1,1.0,-0.1475579529516582,10,2021-09
2021-09-29,1.4167520133983393,7.936507936507937e-05,1,0,0,0.0,-0.14749029882094,0,2021-09
2021-09-30,1.5107875220930433,0.06637400745183523,1,1,1,1.0,-0.09090581356211921,10,2021-09
2021-10-08,1.5379078785961209,0.017951138797800546,1,1,1,1.0,-0.07458653764109915,10,2021-10
2021-10-11,1.538029934776962,7.936507936507937e-05,1,0,0,0.0,-0.07451309212821348,0,2021-10
2021-10-12,1.5381520006448015,7.936507936507937e-05,1,0,0,0.0,-0.07443964078631882,0,2021-10
2021-10-13,1.5121831463139905,-0.016883152198173434,1,1,1,1.0,-0.09006601719951936,10,2021-10
2021-10-14,1.503039953344235,-0.006046352911710828,1,1,1,1.0,-0.09556779918588967,10,2021-10
2021-10-15,1.4723212896716293,-0.020437689366977332,1,1,1,1.0,-0.11405230355962012,10,2021-10
2021-10-18,1.5176026605980064,0.030755088066733084,1,1,1,1.0,-0.08680490413307687,10,2021-10
2021-10-19,1.535127551680042,0.011547746677730564,1,1,1,1.0,-0.07625955849865984,10,2021-10
2021-10-20,1.548802178350036,0.008907811376995223,1,1,1,1.0,-0.06803105288446373,10,2021-10
2021-10-21,1.5489250991578418,7.936507936507937e-05,1,0,0,0.0,-0.06795708709501001,0,2021-10
2021-10-22,1.548881330490224,-2.8257446174485444e-05,1,1,1,1.0,-0.06798342424745375,10,2021-10
