date,nav,daily_ret,invest,exposure,dd,n_positions,month
2021-01-13,1.0000793650793651,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-14,1.0001587364575462,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-15,1.000238114135043,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-18,1.04631522624654,0.04606614311167544,1,1.0,0.0,10,2021-01
2021-01-19,1.046398267137512,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-20,1.06509655289705,0.01786918647207667,1,1.0,0.0,10,2021-01
2021-01-21,1.1094307273203325,0.04162455910940103,1,1.0,0.0,10,2021-01
2021-01-22,1.1182948412143288,0.007989785820522646,1,1.0,0.0,10,2021-01
2021-01-25,1.1788520240018083,0.05415135665091873,1,1.0,0.0,10,2021-01
2021-01-26,1.178945583686253,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-27,1.1790391507960694,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-28,1.1791327253318469,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-29,1.1792263072941749,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-02-01,1.1793198966836427,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-02-02,1.191015601942714,0.009917330566507678,1,1.0,0.0,10,2021-02
2021-02-03,1.1759953970243608,-0.012611257899437438,1,1.0,-0.01261125789943737,10,2021-02
2021-02-04,1.1760887299923788,7.936507936507937e-05,0,0.0,-0.012532893713556257,0,2021-02
2021-02-05,1.176182070367775,7.936507936507937e-05,0,0.0,-0.012454523308295436,0,2021-02
2021-02-08,1.1762754181511377,7.936507936507937e-05,0,0.0,-0.012376146683161046,0,2021-02
2021-02-09,1.2479241937526333,0.06091156415910899,1,1.0,0.0,10,2021-02
2021-02-10,1.2653980726159384,0.014002356033149175,1,1.0,0.0,10,2021-02
2021-02-18,1.3090644952163653,0.03450805208684718,1,1.0,0.0,10,2021-02
2021-02-19,1.336549903617322,0.02099622173039985,1,1.0,0.0,10,2021-02
2021-02-22,1.336655979006498,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-02-23,1.3367620628143557,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-02-24,1.3368681550415633,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-02-25,1.336974255688789,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-02-26,1.337080364756701,7.936507936507937e-05,0,0.0,0.0,0,2021-02
2021-03-01,1.3868660680857405,0.03723463797787411,1,1.0,0.0,10,2021-03
2021-03-02,1.3708071914666553,-0.011579255552232926,1,1.0,-0.011579255552232904,10,2021-03
2021-03-03,1.4050643276801265,0.024990484749951313,1,1.0,0.0,10,2021-03
2021-03-04,1.4051758407220059,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-05,1.4052873626141267,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-08,1.4053988933571913,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-09,1.4055104329519021,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-10,1.4056219813989619,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-11,1.436485361328542,0.021957098236940545,1,1.0,0.0,10,2021-03
2021-03-12,1.4319440486233308,-0.0031614054883309928,1,1.0,-0.0031614054883309962,10,2021-03
2021-03-15,1.4320576949763961,7.936507936507937e-05,0,0.0,-0.0030822913141634184,0,2021-03
2021-03-16,1.4174331346272033,-0.010212270357887913,1,1.0,-0.013263084479829363,10,2021-03
2021-03-17,1.4522963928913242,0.024596051420295098,1,1.0,0.0,10,2021-03
2021-03-18,1.487119762152547,0.023978142087025544,1,1.0,0.0,10,2021-03
2021-03-19,1.4872377875304956,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-22,1.5384198597488252,0.03441418221582149,1,1.0,0.0,10,2021-03
2021-03-23,1.5385419565630911,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-24,1.5386640630675803,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-25,1.538786179263062,7.936507936507937e-05,0,0.0,0.0,0,2021-03
2021-03-26,1.59107930040867,0.033983357694732944,1,1.0,0.0,10,2021-03
2021-03-29,1.6007692055370155,0.00609014593166828,1,1.0,0.0,10,2021-03
2021-03-30,1.5906989777661014,-0.006290868000259743,1,1.0,-0.006290868000259825,10,2021-03
2021-03-31,1.5834533509514481,-0.004554995581142962,1,1.0,-0.010817208705460062,10,2021-03
2021-04-01,1.5893834443447736,0.00374503826700201,1,1.0,-0.00711268129900229,10,2021-04
