date,nav,daily_ret,regime,exposure,dd,n_positions,stop_exit,month
2021-03-02,1.09266747057953,0.012823097368032223,bull,1.0,0.0,10,False,2021-03
2021-03-03,1.1194371458822803,0.024499379750503706,bull,1.0,0.0,10,False,2021-03
2021-03-04,1.120715234850913,0.0011417246366480663,bull,1.0,0.0,10,False,2021-03
2021-03-05,1.12877722589148,0.007193612427013619,bull,1.0,0.0,10,False,2021-03
2021-03-08,1.113280841434814,-0.013728470154442828,bull,1.0,-0.01372847015444288,10,False,2021-03
2021-03-09,1.0832991344614096,-0.02693094667358461,bull,1.0,-0.040289696130388415,10,False,2021-03
2021-03-10,1.0673137986378416,-0.014756160431638733,bull,1.0,-0.05445133534218519,10,False,2021-03
2021-03-11,1.067398506082178,7.936507936507937e-05,bull,0.0,-0.05437629179737101,0,True,2021-03
2021-03-12,1.0674832202493274,7.936507936507937e-05,bull,0.0,-0.05430124229672,0,True,2021-03
2021-03-15,1.0675679411398233,7.936507936507937e-05,bull,0.0,-0.05422618683975946,0,True,2021-03
2021-03-16,1.0676526687541996,7.936507936507937e-05,bull,0.0,-0.054151125426016494,0,True,2021-03
2021-03-17,1.0677374030929896,7.936507936507937e-05,bull,0.0,-0.0540760580550186,0,True,2021-03
2021-03-18,1.0678221441567273,7.936507936507937e-05,bull,0.0,-0.054000984726292674,0,True,2021-03
2021-03-19,1.072003847006263,0.0039161042617616776,bull,1.0,-0.05029635395095694,10,False,2021-03
2021-03-22,1.0720889266766602,7.936507936507937e-05,bull,0.0,-0.050220980645714994,0,True,2021-03
2021-03-23,1.0721740130994124,7.936507936507937e-05,bull,0.0,-0.050145601358464596,0,True,2021-03
2021-03-24,1.0722591062750553,7.936507936507937e-05,bull,0.0,-0.050070216088731086,0,True,2021-03
2021-03-25,1.0723442062041249,7.936507936507937e-05,bull,0.0,-0.049994824836039606,0,True,2021-03
2021-03-26,1.072429312887157,7.936507936507937e-05,bull,0.0,-0.04991942759991548,0,True,2021-03
2021-03-29,1.0725144263246877,7.936507936507937e-05,bull,0.0,-0.049844024379883646,0,True,2021-03
2021-03-30,1.0725995465172533,7.936507936507937e-05,bull,0.0,-0.049768615175469245,0,True,2021-03
2021-03-31,1.0726846734653896,7.936507936507937e-05,bull,0.0,-0.049693199986197416,0,True,2021-03
2021-04-01,1.072769807169633,7.936507936507937e-05,bull,0.0,-0.04961777881159309,0,True,2021-04
2021-04-02,1.0728549476305196,7.936507936507937e-05,bull,0.0,-0.04954235165118122,0,True,2021-04
2021-04-06,1.0729400948485854,7.936507936507937e-05,bull,0.0,-0.04946691850448692,0,True,2021-04
2021-04-07,1.073025248824367,7.936507936507937e-05,bull,0.0,-0.049391479371034955,0,True,2021-04
2021-04-08,1.0731104095584008,7.936507936507937e-05,bull,0.0,-0.04931603425035005,0,True,2021-04
2021-04-09,1.073195577051223,7.936507936507937e-05,bull,0.0,-0.04924058314195716,0,True,2021-04
2021-04-12,1.07328075130337,7.936507936507937e-05,bull,0.0,-0.049165126045381015,0,True,2021-04
2021-04-13,1.0733659323153781,7.936507936507937e-05,bull,0.0,-0.04908966296014655,0,True,2021-04
2021-04-14,1.073451120087784,7.936507936507937e-05,bull,0.0,-0.04901419388577833,0,True,2021-04
2021-04-15,1.0735363146211245,7.936507936507937e-05,bull,0.0,-0.04893871882180089,0,True,2021-04
2021-04-16,1.0736215159159357,7.936507936507937e-05,bull,0.0,-0.04886323776773917,0,True,2021-04
2021-04-19,1.0737067239727545,7.936507936507937e-05,bull,0.0,-0.048787750723117515,0,True,2021-04
2021-04-20,1.0778046870821636,0.003816650317925397,bull,1.0,-0.04515730618950048,10,False,2021-04
2021-04-21,1.0740758728190365,-0.0034596381958790783,bull,1.0,-0.04846071644406349,10,False,2021-04
2021-04-22,1.0915318430890177,0.016252083034102718,bull,1.0,-0.03299622099750187,10,False,2021-04
2021-04-23,1.0855226279981502,-0.005505304429655078,bull,1.0,-0.03831987118553748,10,False,2021-04
2021-04-26,1.096626534960339,0.010229088437028577,bull,1.0,-0.028482760099761292,10,False,2021-04
2021-04-27,1.0879212930737723,-0.007938201027464209,bull,1.0,-0.036194859251736614,10,False,2021-04
2021-04-28,1.099875673909273,0.01098827728771181,bull,1.0,-0.025604301113872487,10,False,2021-04
2021-04-29,1.0888776764049037,-0.009999309708595638,bull,1.0,-0.03534758548575845,10,False,2021-04
2021-04-30,1.0988090829143686,0.009120773365705291,bull,1.0,-0.026549209436293672,10,False,2021-04
2021-05-06,1.0802333493346206,-0.01690533311799679,bull,1.0,-0.04300571932475055,10,False,2021-05
2021-05-07,1.0653070998194367,-0.013817615910838013,bull,1.0,-0.05622909872398982,10,False,2021-05
2021-05-10,1.065391648001962,7.936507936507937e-05,bull,0.0,-0.0561541962715076,0,True,2021-05
2021-05-11,1.0654762028946607,7.936507936507937e-05,bear,0.0,-0.056079287874386215,0,True,2021-05
2021-05-12,1.0655607644980651,7.936507936507937e-05,bear,0.0,-0.05600437353215395,0,True,2021-05
2021-05-13,1.0656453328127078,7.936507936507937e-05,bear,0.0,-0.05592945324433909,0,True,2021-05
2021-05-14,1.0657299078391216,7.936507936507937e-05,bear,0.0,-0.055854527010469515,0,True,2021-05
2021-05-17,1.065814489577839,7.936507936507937e-05,bear,0.0,-0.05577959483007352,0,True,2021-05
2021-05-18,1.0658990780293929,7.936507936507937e-05,bear,0.0,-0.05570465670267899,0,True,2021-05
2021-05-19,1.065983673194316,7.936507936507937e-05,bear,0.0,-0.05562971262781401,0,True,2021-05
2021-05-20,1.066068275073141,7.936507936507937e-05,bear,0.0,-0.05555476260500666,0,True,2021-05
2021-05-21,1.0661528836664007,7.936507936507937e-05,bear,0.0,-0.05547980663378485,0,True,2021-05
2021-05-25,1.0662374989746282,7.936507936507937e-05,bear,0.0,-0.05540484471367645,0,True,2021-05
2021-05-26,1.0663221209983564,7.936507936507937e-05,bear,0.0,-0.05532987684420917,0,True,2021-05
2021-05-27,1.0664067497381182,7.936507936507937e-05,bear,0.0,-0.05525490302491108,0,True,2021-05
2021-05-28,1.0664913851944466,7.936507936507937e-05,bear,0.0,-0.05517992325530989,0,True,2021-05
2021-05-31,1.0665760273678748,7.936507936507937e-05,bear,0.0,-0.05510493753493328,0,True,2021-05
2021-06-01,1.066660676258936,7.936507936507937e-05,bear,0.0,-0.05502994586330895,0,True,2021-06
2021-06-02,1.0667453318681628,7.936507936507937e-05,bear,0.0,-0.05495494823996478,0,True,2021-06
2021-06-03,1.0668299941960888,7.936507936507937e-05,bear,0.0,-0.05487994466442828,0,True,2021-06
2021-06-04,1.0669146632432474,7.936507936507937e-05,bear,0.0,-0.054804935136226945,0,True,2021-06
2021-06-07,1.0669993390101715,7.936507936507937e-05,bear,0.0,-0.05472991965488846,0,True,2021-06
2021-06-08,1.0670840214973947,7.936507936507937e-05,bear,0.0,-0.05465489821994032,0,True,2021-06
2021-06-09,1.0671687107054502,7.936507936507937e-05,bear,0.0,-0.05457987083091004,0,True,2021-06
2021-06-10,1.0672534066348713,7.936507936507937e-05,bear,0.0,-0.05450483748732509,0,True,2021-06
2021-06-11,1.0673381092861915,7.936507936507937e-05,bear,0.0,-0.05442979818871299,0,True,2021-06
2021-06-15,1.0674228186599444,7.936507936507937e-05,bear,0.0,-0.05435475293460103,0,True,2021-06
2021-06-16,1.0675075347566634,7.936507936507937e-05,bear,0.0,-0.0542797017245165,0,True,2021-06
2021-06-17,1.0675922575768821,7.936507936507937e-05,bear,0.0,-0.05420464455798672,0,True,2021-06
2021-06-18,1.0676769871211342,7.936507936507937e-05,bear,0.0,-0.05412958143453898,0,True,2021-06
2021-06-21,1.0677617233899535,7.936507936507937e-05,bear,0.0,-0.05405451235370038,0,True,2021-06
2021-06-22,1.0678464663838734,7.936507936507937e-05,bear,0.0,-0.05397943731499822,0,True,2021-06
2021-06-23,1.0717724681147334,0.0036765601183801786,bull,1.0,-0.0505013358430631,10,False,2021-06
2021-06-24,1.0718575294217267,7.936507936507937e-05,bull,0.0,-0.050425978806225125,0,True,2021-06
2021-06-25,1.0719425974796175,7.936507936507937e-05,bull,0.0,-0.05035061578866993,0,True,2021-06
2021-06-28,1.0720276722889412,7.936507936507937e-05,bull,0.0,-0.05027524678992303,0,True,2021-06
2021-06-29,1.072112753850234,7.936507936507937e-05,bull,0.0,-0.05019987180950958,0,True,2021-06
2021-06-30,1.0721978421640317,7.936507936507937e-05,bull,0.0,-0.0501244908469547,0,True,2021-06
2021-07-01,1.0722829372308702,7.936507936507937e-05,bull,0.0,-0.05004910390178374,0,True,2021-07
2021-07-02,1.0723680390512853,7.936507936507937e-05,bull,0.0,-0.04997371097352202,0,True,2021-07
2021-07-05,1.0724531476258132,7.936507936507937e-05,bull,0.0,-0.04989831206169448,0,True,2021-07
2021-07-06,1.07253826295499,7.936507936507937e-05,bull,0.0,-0.04982290716582626,0,True,2021-07
2021-07-07,1.0726233850393516,7.936507936507937e-05,bull,0.0,-0.04974749628544249,0,True,2021-07
2021-07-08,1.0727085138794341,7.936507936507937e-05,bull,0.0,-0.04967207942006832,0,True,2021-07
2021-07-09,1.0727936494757737,7.936507936507937e-05,bull,0.0,-0.049596656569228674,0,True,2021-07
