date,nav,daily_ret,invest,exposure,dd,n_positions,month
2021-04-28,1.0584436880843229,7.936507936507937e-05,0,0.0,-0.017581385072856497,0,2021-04
2021-04-29,1.0577564518854325,0.0006114811307343038,1,1.0,-0.01821925900251599,10,2021-04
2021-04-30,1.0459857276553728,-0.011128009863781707,1,1.0,-0.029144524772406834,10,2021-04
2021-05-06,1.0879183500592837,0.040089096146564994,1,1.0,0.0,10,2021-05
2021-05-07,1.0860898045261766,7.936507936507937e-05,0,0.0,-0.00168077460317443,0,2021-05
2021-05-10,1.0861760021297104,7.936507936507937e-05,0,0.0,-0.0016015429186191585,0,2021-05
2021-05-11,1.086262206574324,7.936507936507937e-05,0,0.0,-0.0015223049458349014,0,2021-05
2021-05-12,1.08634841786056,7.936507936507937e-05,0,0.0,-0.0014430606843226334,0,2021-05
2021-05-13,1.0890227400614059,0.003726448992305066,1,1.0,0.0,10,2021-05
2021-05-14,1.1078082070616417,0.01724983906137403,1,1.0,0.0,10,2021-05
2021-05-17,1.0759807061695568,-0.028730154452009826,1,1.0,-0.028730154452009753,10,2021-05
2021-05-18,1.1061378324851143,0.02802757163082932,1,1.0,-0.0015078192830489355,10,2021-05
2021-05-19,1.1277519121510107,0.019540132369703804,1,1.0,0.0,10,2021-05
2021-05-20,1.1116511091364816,-0.014276901542839527,1,1.0,-0.01427690154283962,10,2021-05
2021-05-21,1.1134022191356505,0.0015752334386003085,1,1.0,-0.012724157556949165,10,2021-05
2021-05-24,1.1115308409626092,7.936507936507937e-05,0,0.0,-0.014383545719255111,0,2021-05
2021-05-25,1.128383102227952,0.01644202480191539,1,1.0,0.0,10,2021-05
2021-05-26,1.1087967273142323,-0.017357912286214836,1,1.0,-0.01735791228621479,10,2021-05
2021-05-27,1.1440955398342993,0.03183524234019793,1,1.0,0.0,10,2021-05
2021-05-28,1.149239895023624,0.004496438461835006,1,1.0,0.0,10,2021-05
2021-05-31,1.2071123420893153,0.050357151119002616,1,1.0,0.0,10,2021-05
2021-06-01,1.2067140070480227,-0.00032999003274465253,1,1.0,-0.00032999003274471927,10,2021-06
2021-06-02,1.1492700827181268,-0.04760359455047736,1,1.0,-0.04791787587149753,10,2021-06
2021-06-03,1.147338418750906,7.936507936507937e-05,0,0.0,-0.049518111325869155,0,2021-06
2021-06-04,1.1474294773555687,7.936507936507937e-05,0,0.0,-0.049442676255339484,0,2021-06
2021-06-07,1.147520543187105,7.936507936507937e-05,0,0.0,-0.049367235197899324,0,2021-06
2021-06-08,1.132860833110334,-0.011529645117672937,1,1.0,-0.061511680719347095,10,2021-06
2021-06-09,1.130956749393111,7.936507936507937e-05,0,0.0,-0.06308906805177003,0,2021-06
2021-06-10,1.1310465078652852,7.936507936507937e-05,0,0.0,-0.06301471004129784,0,2021-06
2021-06-11,1.092354522563766,-0.03299058167254104,1,1.0,-0.09506805251193279,10,2021-06
2021-06-15,1.0909347835441725,-0.0012997053523076448,1,1.0,-0.0962441974075572,10,2021-06
2021-06-16,1.0891011680662717,7.936507936507937e-05,0,0.0,-0.09776320720802627,0,2021-06
2021-06-17,1.089187604666912,7.936507936507937e-05,0,0.0,-0.0976916011133601,0,2021-06
2021-06-18,1.0892740481276,7.936507936507937e-05,0,0.0,-0.09761998933567058,0,2021-06
2021-06-21,1.1073675244372252,0.01789312771983047,1,1.0,-0.08263093183145491,10,2021-06
2021-06-22,1.1364869927707217,0.026296119121152095,1,1.0,-0.05850768553683458,10,2021-06
2021-06-23,1.1323964452825757,-0.0035992910734274908,1,1.0,-0.06189639041998241,10,2021-06
2021-06-24,1.083271310996832,-0.041064781299116046,1,1.0,-0.10259279668877766,10,2021-06
2021-06-25,1.061863159046976,-0.019762502461323432,1,1.0,-0.12032780875302503,10,2021-06
2021-06-28,1.1160424572379244,0.05102286271949995,1,1.0,-0.07544441530086896,10,2021-06
2021-06-29,1.0693449344157786,-0.04184206659817999,1,1.0,-0.11412973164956933,10,2021-06
2021-06-30,1.1092671826709803,0.03733336828028533,1,1.0,-0.08105721067268758,10,2021-06
2021-07-01,1.0594991056753276,-0.044865725564707803,1,1.0,-0.12228624566831385,10,2021-07
2021-07-02,1.0577183264864223,7.936507936507937e-05,0,0.0,-0.12376148465545157,0,2021-07
2021-07-05,1.0578022723853497,7.936507936507937e-05,0,0.0,-0.12369194191613854,0,2021-07
2021-07-06,1.0578862249466503,7.936507936507937e-05,0,0.0,-0.12362239365756035,0,2021-07
2021-07-07,1.0579701841708524,7.936507936507937e-05,0,0.0,-0.12355283987927919,0,2021-07
2021-07-08,1.0694858487872367,0.012159999436794335,1,1.0,-0.11401299489977001,10,2021-07
2021-07-09,1.1034731948644134,0.0317791451992724,1,1.0,-0.0858570852200213,10,2021-07
2021-07-12,1.1626185321425346,0.05359925148466225,1,1.0,-0.03685970923780722,10,2021-07
2021-07-13,1.149661658228339,-0.011144561656279417,1,1.0,-0.047593485591853446,10,2021-07
2021-07-14,1.1057798525744134,-0.03816932167812632,1,1.0,-0.08394619620864108,10,2021-07
2021-07-15,1.1278044949141315,0.019917746094253553,1,1.0,-0.06570046913604977,10,2021-07
2021-07-16,1.1340051434207021,0.005497981728688441,1,1.0,-0.06056370738623753,10,2021-07
2021-07-19,1.1320991363757713,7.936507936507937e-05,0,0.0,-0.0621426880481632,0,2021-07
2021-07-20,1.132188985513579,7.936507936507937e-05,0,0.0,-0.06206825492816699,0,2021-07
2021-07-21,1.1322788417822705,7.936507936507937e-05,0,0.0,-0.061993815900780375,0,2021-07
2021-07-22,1.1577926881078118,0.023823200211629935,1,1.0,-0.04085755091869842,10,2021-07
2021-07-23,1.135026722625967,-0.01758642632972031,1,1.0,-0.05971740736125675,10,2021-07
2021-07-26,1.1331189985366528,7.936507936507937e-05,0,0.0,-0.061297810462771066,0,2021-07
2021-07-27,1.1332089286159017,7.936507936507937e-05,0,0.0,-0.06122331028899826,0,2021-07
2021-07-28,1.1332988658324585,7.936507936507937e-05,0,0.0,-0.06114880420251326,0,2021-07
2021-07-29,1.1333888101868896,7.936507936507937e-05,0,0.0,-0.06107429220284683,0,2021-07
2021-07-30,1.1263665272770638,-0.004942055682581947,1,1.0,-0.06689171504326899,10,2021-07
2021-08-02,1.1194622295442365,-0.0061297078398787844,1,1.0,-0.07261139621302415,10,2021-08
2021-08-03,1.0631711400989476,-0.05028404528503514,1,1.0,-0.11924424676267398,10,2021-08
2021-08-04,1.1105325130830166,0.04454727108155051,1,1.0,-0.0800089814665756,10,2021-08
2021-08-05,1.101107156488517,-0.008487240565639242,1,1.0,-0.08781716655909627,10,2021-08
2021-08-06,1.147150416939553,0.04181542203201204,1,1.0,-0.04967385640840846,10,2021-08
2021-08-09,1.14522231565274,7.936507936507937e-05,0,0.0,-0.051271140455290014,0,2021-08
2021-08-10,1.1088360102869268,-0.03055075761772295,1,1.0,-0.08141440392556017,10,2021-08
2021-08-11,1.1174157189512983,0.007737581197558231,1,1.0,-0.07430677328902684,10,2021-08
2021-08-12,1.1301785894269798,0.01142177459939381,1,1.0,-0.06373371390534842,10,2021-08
2021-08-13,1.1286095224545538,-0.0013883354251308375,1,1.0,-0.0650335655576894,10,2021-08
2021-08-16,1.1267125842323111,7.936507936507937e-05,0,0.0,-0.06660503339552078,0,2021-08
2021-08-17,1.1268020058659804,7.936507936507937e-05,0,0.0,-0.06653095442991717,0,2021-08
2021-08-18,1.1268914345966048,7.936507936507937e-05,0,0.0,-0.06645686958503062,0,2021-08
2021-08-19,1.1269808704247475,7.936507936507937e-05,0,0.0,-0.06638277886039443,0,2021-08
2021-08-20,1.1270703133509716,7.936507936507937e-05,0,0.0,-0.06630868225554211,0,2021-08
2021-08-23,1.1271597633758408,7.936507936507937e-05,0,0.0,-0.06623457977000681,0,2021-08
2021-08-24,1.1203342174646316,-0.004801576570187027,1,1.0,-0.07188902109515745,10,2021-08
2021-08-25,1.1394147323116772,0.017031091748876247,1,1.0,-0.0560822778602897,10,2021-08
2021-08-26,1.0996690569124907,-0.03488253598279295,1,1.0,-0.08900852176762412,10,2021-08
2021-08-27,1.0978207610897353,7.936507936507937e-05,0,0.0,-0.09053969310794559,0,2021-08
2021-08-30,1.0979078897215677,7.936507936507937e-05,0,0.0,-0.09046751371850975,0,2021-08
2021-08-31,1.097995025268371,7.936507936507937e-05,0,0.0,-0.09039532860055091,0,2021-08
2021-09-01,1.098082167730694,7.936507936507937e-05,0,0.0,-0.09032313775361435,0,2021-09
2021-09-02,1.0981693171090854,7.936507936507937e-05,0,0.0,-0.09025094117724555,0,2021-09
2021-09-03,1.098256473404094,7.936507936507937e-05,0,0.0,-0.09017873887098977,0,2021-09
2021-09-06,1.098343636616269,7.936507936507937e-05,0,0.0,-0.09010653083439213,0,2021-09
2021-09-07,1.1101320512269446,0.01200803211732624,1,1.0,-0.08034073340225614,10,2021-09
2021-09-08,1.0995536889414488,-0.009528922504132996,1,1.0,-0.08910409528387388,10,2021-09
2021-09-09,1.09029130097648,-0.008423770533556894,1,1.0,-0.09677727336515918,10,2021-09
2021-09-10,1.0973892480392706,0.006510138213918904,1,1.0,-0.0908971685768135,10,2021-09
2021-09-13,1.0853536185016113,-0.01096751180965532,1,1.0,-0.1008677646166383,10,2021-09
2021-09-14,1.0957339524519083,0.009564011003738705,1,1.0,-0.09226845402361564,10,2021-09
2021-09-15,1.093892270652791,7.936507936507937e-05,0,0.0,-0.09379414615259322,0,2021-09
2021-09-16,1.0939790874996682,7.936507936507937e-05,0,0.0,-0.09372222505308146,0,2021-09
2021-09-17,1.0940659112367714,7.936507936507937e-05,0,0.0,-0.09365029824554594,0,2021-09
2021-09-22,1.0941527418646475,7.936507936507937e-05,0,0.0,-0.09357836572953357,0,2021-09
2021-09-23,1.094239579383843,7.936507936507937e-05,0,0.0,-0.09350642750459148,0,2021-09
2021-09-24,1.0943264237949053,7.936507936507937e-05,0,0.0,-0.09343448357026644,0,2021-09
2021-09-27,1.094413275098381,7.936507936507937e-05,0,0.0,-0.0933625339261054,0,2021-09
2021-09-28,1.0945001332948174,7.936507936507937e-05,0,0.0,-0.09329057857165507,0,2021-09
2021-09-29,1.0945869983847616,7.936507936507937e-05,0,0.0,-0.09321861750646225,0,2021-09
2021-09-30,1.0946738703687604,7.936507936507937e-05,0,0.0,-0.09314665073007385,0,2021-09
2021-10-08,1.0947607492473612,7.936507936507937e-05,0,0.0,-0.09307467824203645,0,2021-10
2021-10-11,1.0889793309096318,-0.004026060798317099,1,1.0,-0.09786413994841144,10,2021-10
2021-10-12,1.0710491059939145,-0.016465165505703584,1,1.0,-0.11271795619279104,10,2021-10
2021-10-13,1.0692489138578072,7.936507936507937e-05,0,0.0,-0.11420927731787492,0,2021-10
2021-10-14,1.0458153339983973,-0.02068198510269912,1,1.0,-0.13362220107180667,10,2021-10
2021-10-15,1.0429864794442836,-0.0027049274017608045,1,1.0,-0.13596569012040463,10,2021-10
2021-10-18,1.0981541170915752,0.0528939144797788,1,1.0,-0.09026353322603854,10,2021-10
2021-10-19,1.1229172153677651,0.022549747700053416,1,1.0,-0.06974920542674767,10,2021-10
