date,nav,daily_ret,timing,exposure,dd,vol_scaler,dd_scaler,n_positions,month
2021-01-13,0.9981139021816855,-0.0018860978183144557,1,0.6078906486426864,-0.0018860978183145027,0.6078906486426864,1.0,10,2021-01
2021-01-14,1.0088497161792374,0.0107561010562877,1,0.6078906486426864,0.0,0.6071235640048223,1.0,10,2021-01
2021-01-15,1.0087460610275476,-0.00010274587981478772,1,0.6078906486426864,-0.00010274587981480508,0.606176669068338,1.0,10,2021-01
2021-01-18,1.0154090068013848,0.0066051764970957725,1,0.6078906486426864,0.0,0.6059299659371196,1.0,10,2021-01
2021-01-19,1.0209585071417508,0.005465285715602793,1,0.6078906486426864,0.0,0.6058414030272108,1.0,10,2021-01
2021-01-20,1.0180784977541637,-0.0028208877906799757,1,0.6078906486426864,-0.0028208877906800993,0.6055020076045476,1.0,10,2021-01
2021-01-21,1.0233385105224024,0.005166608252548348,1,0.6078906486426864,0.0,0.6048760634426121,1.0,10,2021-01
2021-01-22,1.0222143456827284,-0.0010985268590157585,1,0.6078906486426864,-0.0010985268590157546,0.6041471804810196,1.0,10,2021-01
2021-01-25,1.0063100285295659,-0.015558691012637028,1,0.6078906486426864,-0.016640126231684305,0.6029752816779548,1.0,10,2021-01
2021-01-26,0.997307569394506,-0.008946009559513534,1,0.6078906486426864,-0.025437273062857663,0.6009881141668312,1.0,10,2021-01
2021-01-27,0.9957247349284581,-0.0015871076432407568,1,0.6078906486426864,-0.026984009015597173,0.5992359388784556,1.0,10,2021-01
2021-01-28,0.9882384030576035,-0.0075184753458921744,1,0.6078906486426864,-0.03429960575497229,0.5964085171968573,1.0,10,2021-01
2021-01-29,0.9856279207027246,-0.0026415512155791715,1,0.6078906486426864,-0.036850552805275515,0.593814580967966,1.0,10,2021-01
2021-02-01,0.9893618712779091,0.0037883977277371485,1,0.6078906486426864,-0.03320175962805178,0.5914490787625075,1.0,10,2021-02
2021-02-02,0.9924447552167357,0.003116032695746172,1,0.6078906486426864,-0.030189184700862896,0.5881623833062651,1.0,10,2021-02
2021-02-03,0.978995561447022,-0.013551579268285341,1,0.6078906486426864,-0.04333165283962961,0.5851322496782526,1.0,10,2021-02
2021-02-04,0.9714497777343114,-0.007707679186571057,1,0.6078906486426864,-0.05070534554748891,0.5831864578653846,1.0,10,2021-02
2021-02-05,0.9582514100567405,-0.013586258373904878,1,0.6078906486426864,-0.06360270799584752,0.5812547906731564,1.0,10,2021-02
2021-02-08,0.9693388837887739,0.011570526915662791,1,0.6078906486426864,-0.052768097924959734,0.5791863813922314,1.0,10,2021-02
2021-02-09,0.9889983956093985,0.020281360986761574,1,0.6078906486426864,-0.03355694578079906,0.5773198160270901,1.0,10,2021-02
2021-02-10,0.9911068271224281,0.0021318856758411383,1,0.6078906486426864,-0.03149659967699289,0.5754432889156411,1.0,10,2021-02
2021-02-18,1.0093686388096685,0.018425674395021064,1,0.5730474958639946,-0.013651271372170327,0.5730474958639947,1.0,10,2021-02
2021-02-19,1.028835642913425,0.01928631756056319,1,0.5730474958639946,0.0,0.5705591136874624,1.0,10,2021-02
2021-02-22,1.0370108147870574,0.007946042625896965,1,0.5730474958639946,0.0,0.5662140472253532,1.0,10,2021-02
