date,nav,daily_ret,timing,exposure,dd,n_positions,month
2021-01-13,0.9898541019638735,-0.01014589803612657,1,1.0,-0.010145898036126533,10,2021-01
2021-01-14,0.9354451213937353,-0.05496666676653731,1,1.0,-0.06455487860626474,10,2021-01
2021-01-15,0.9319522640617677,-0.0037338987099140982,1,1.0,-0.06804773593823232,10,2021-01
2021-01-18,0.9546637484648206,0.02436979368886174,1,1.0,-0.045336251535179395,10,2021-01
2021-01-19,0.932241436609149,-0.02348713030292447,1,1.0,-0.06775856339085096,10,2021-01
2021-01-20,0.9559371686672973,0.025418020619569222,1,1.0,-0.04406283133270272,10,2021-01
2021-01-21,0.9686492049517178,0.013297983069475832,1,1.0,-0.0313507950482822,10,2021-01
2021-01-22,0.9780926728067717,0.009749110211188017,1,1.0,-0.0219073271932283,10,2021-01
2021-01-25,1.00254657394745,0.025001619806131893,1,1.0,0.0,10,2021-01
2021-01-26,0.9597492126265001,-0.04268865151315455,1,1.0,-0.04268865151315463,10,2021-01
2021-01-27,0.9898906676910771,0.031405553313339364,1,1.0,-0.012623758920786243,10,2021-01
2021-01-28,0.949970403577019,-0.040327952790152374,1,1.0,-0.05244262135714685,10,2021-01
2021-01-29,0.9134641259364603,-0.03842885789188584,1,1.0,-0.0888561692054209,10,2021-01
2021-02-01,0.8885151852968248,-0.027312447124355883,1,1.0,-0.11374173690668087,10,2021-02
2021-02-02,0.8747120722588954,-0.015535033352658111,1,1.0,-0.12750978858290452,10,2021-02
2021-02-03,0.8446680078749654,-0.03434737593862491,1,1.0,-0.15747753787721783,10,2021-02
2021-02-04,0.8250660464409391,-0.02320670518034821,1,1.0,-0.17702970826352235,10,2021-02
2021-02-05,0.8016640570886603,-0.028363777000916694,1,1.0,-0.20037225409671514,10,2021-02
2021-02-08,0.7905774603079396,-0.013829479671301461,1,1.0,-0.2114306897532932,10,2021-02
2021-02-09,0.8238448632405421,0.042079877814432405,1,1.0,-0.1782477895299005,10,2021-02
2021-02-10,0.8379317533407706,0.01709895968133939,1,1.0,-0.16419668161502077,10,2021-02
2021-02-18,0.8575383055599477,0.023398745949186537,1,1.0,-0.14463993210464363,10,2021-02
2021-02-19,0.8488975382175669,-0.01007624649109844,1,1.0,-0.15325875098739986,10,2021-02
2021-02-22,0.8396564168478529,-0.010886026821467344,1,1.0,-0.16247639893499374,10,2021-02
2021-02-23,0.8285322406805511,-0.013248485861708691,1,1.0,-0.17357231852255084,10,2021-02
2021-02-24,0.8000168597605811,-0.0344167426683934,1,1.0,-0.20201526736999725,10,2021-02
2021-02-25,0.7949948738423959,-0.006277350104456705,1,1.0,-0.2070244969147271,10,2021-02
2021-02-26,0.7971670563331811,0.0027323226378637485,1,1.0,-0.20485783199637583,10,2021-02
2021-03-01,0.8314184847984936,0.042966437452724965,1,1.0,-0.170693405768824,10,2021-03
2021-03-02,0.8178729175734128,-0.016292116993722697,1,1.0,-0.18420456582570402,10,2021-03
2021-03-03,0.8307633900364939,0.015760972378601835,1,1.0,-0.17134683652109345,10,2021-03
2021-03-04,0.7891098629152785,-0.05013885736994938,1,1.0,-0.2128945592939197,10,2021-03
2021-03-05,0.8052673333204604,0.020475565145631112,1,1.0,-0.1967781305662616,10,2021-03
2021-03-08,0.788492866719791,-0.020830928943188477,1,1.0,-0.21350998825405082,10,2021-03
2021-03-09,0.7641258412229599,-0.03090329224942824,1,1.0,-0.23781511893829207,10,2021-03
2021-03-10,0.7657269983300401,0.0020954102331072312,1,1.0,-0.23621802893899582,10,2021-03
2021-03-11,0.7859647882489811,0.026429510730426365,1,1.0,-0.2160316451391328,10,2021-03
2021-03-12,0.7927942840633587,0.008689315242216913,1,1.0,-0.20921949696382455,10,2021-03
2021-03-15,0.7828373111815382,-0.012559339896836007,1,1.0,-0.2191511780852469,10,2021-03
2021-03-16,0.788561160228522,0.007311671231337768,1,1.0,-0.2134418682180289,10,2021-03
2021-03-17,0.7902752794247909,0.0021737301844440013,1,1.0,-0.21173210306515453,10,2021-03
2021-03-18,0.8038462400851871,0.017172447391083714,1,1.0,-0.1981956140749607,10,2021-03
2021-03-19,0.7923558788142308,-0.014294227798762393,1,1.0,-0.20965678861742004,10,2021-03
