date,nav,daily_ret,regime,exposure,dd,n_positions,month
2021-05-31,1.0117305664597658,0.020200841900502187,bull,1.0,-0.06006706162010816,10,2021-05
2021-06-01,1.0105358592816018,-0.0011808550791782332,bull,1.0,-0.061176986204481025,10,2021-06
2021-06-02,1.011963108424477,0.0014123686257801241,bull,1.0,-0.05985102203463592,10,2021-06
2021-06-03,1.0149137177309204,0.0029157281346325115,bull,1.0,-0.057109803208836206,10,2021-06
2021-06-04,1.0297586976052169,0.014626839321362127,bull,1.0,-0.04331829980268434,10,2021-06
2021-06-07,1.0277860499007085,-0.0019156407312662322,bull,1.0,-0.04515095823443945,10,2021-06
2021-06-08,1.0312596085777088,0.003379651511455828,bull,1.0,-0.041923901227224204,10,2021-06
2021-06-09,1.032834486422385,0.0015271400446374222,bull,1.0,-0.04046078485097819,10,2021-06
2021-06-10,1.0421813854090338,0.009049754931233068,bull,1.0,-0.03177719010697164,10,2021-06
2021-06-11,1.0456805400490627,0.0033575293984507526,bull,1.0,-0.02852635355850524,10,2021-06
2021-06-15,1.0342418968435296,-0.010938946233996471,bull,1.0,-0.03915325154467327,10,2021-06
2021-06-16,0.993841338051663,-0.03906296864898602,bull,1.0,-0.07668677795606388,10,2021-06
2021-06-17,1.0059181575761784,0.012151657475016021,bull,1.0,-0.06546699193963253,10,2021-06
2021-06-18,1.0356309777299448,0.029538009558711255,bull,1.0,-0.037862747014614166,10,2021-06
2021-06-21,1.046646128571372,0.010636173577553499,bull,1.0,-0.027629288186431112,10,2021-06
2021-06-22,1.0420030943360639,-0.0044361070170350295,bull,1.0,-0.03194282872426671,10,2021-06
2021-06-23,1.0494146138555354,0.007112761526100775,bull,1.0,-0.02505726892135074,10,2021-06
2021-06-24,1.0253208030280252,-0.022959286548325988,bull,1.0,-0.047441258452393026,10,2021-06
2021-06-25,1.0310920896342375,0.0056287618364597065,bull,1.0,-0.04207953216098385,10,2021-06
2021-06-28,1.039603059176965,0.00825432532000755,bull,1.0,-0.03417254498874671,10,2021-06
2021-06-29,1.033759388578213,-0.0056210594487651755,bull,1.0,-0.039601518530614575,10,2021-06
2021-06-30,1.0510912748230516,0.01676588037442269,bull,1.0,-0.0234995924785217,10,2021-06
2021-07-01,1.0155939605003452,-0.03377186660471739,bull,1.0,-0.05647783398078921,10,2021-07
2021-07-02,1.011859405754461,-0.0036772124403382732,bull,1.0,-0.05994736542740993,10,2021-07
2021-07-05,1.0616230848158454,0.049180428405742334,bull,1.0,-0.013715174135183007,10,2021-07
2021-07-06,1.0928337868305078,0.029399042335327825,bull,1.0,0.0,10,2021-07
2021-07-07,1.1172579661369446,0.022349399882001315,bull,1.0,0.0,10,2021-07
