date,nav,daily_ret,invest,exposure,dd,n_positions,month
2021-01-13,1.0000793650793651,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-14,0.9988985364496096,7.936507936507937e-05,0,0.0,-0.0011807349206348627,0,2021-01
2021-01-15,0.9989778141112327,7.936507936507937e-05,0,0.0,-0.0011014635503903752,0,2021-01
2021-01-18,0.9990570980647336,7.936507936507937e-05,1,0.0,-0.001022185888767296,0,2021-01
2021-01-19,0.9653557190387254,-0.03251415394644889,0,1.0,-0.034720890414416346,10,2021-01
2021-01-20,0.9637331736631358,7.936507936507937e-05,1,0.0,-0.03634330702678273,0,2021-01
2021-01-21,1.0025832934569017,0.04162455910940103,1,1.0,0.0,10,2021-01
2021-01-22,1.0105937192388565,0.007989785820522646,1,1.0,0.0,10,2021-01
2021-01-25,1.0653187401585382,0.05415135665091873,1,1.0,0.0,10,2021-01
2021-01-26,1.044292773071491,-0.019736785146498247,0,1.0,-0.01973678514649817,10,2021-01
2021-01-27,1.0425375523002338,7.936507936507937e-05,0,0.0,-0.021384386662450117,0,2021-01
2021-01-28,1.0426202933758133,7.936507936507937e-05,0,0.0,-0.021306718756629584,0,2021-01
2021-01-29,1.0427030410181448,7.936507936507937e-05,0,0.0,-0.021229044686689538,0,2021-01
2021-02-01,1.0427857952277495,7.936507936507937e-05,0,0.0,-0.021151364452140796,0,2021-02
2021-02-02,1.0428685560051485,7.936507936507937e-05,1,0.0,-0.021073678052494174,0,2021-02
2021-02-03,1.028419228683824,-0.012611257899437438,1,1.0,-0.034637062208464346,10,2021-02
2021-02-04,1.0117293047922624,-0.01622871629201402,0,1.0,-0.050303663444708345,10,2021-02
2021-02-05,1.0100288158714803,7.936507936507937e-05,0,0.0,-0.05189988892791824,0,2021-02
2021-02-08,1.010108976888613,7.936507936507937e-05,0,0.0,-0.05182464288735702,0,2021-02
2021-02-09,1.010189144267731,7.936507936507937e-05,1,0.0,-0.05174939087488771,0,2021-02
2021-02-10,1.023043511269459,0.014002356033149175,1,1.0,-0.039683173960488115,10,2021-02
2021-02-18,1.0124542743050748,-0.01035072003070945,1,1.0,-0.04962314456760257,10,2021-02
2021-02-19,1.0305901785342795,0.02099622173039985,1,1.0,-0.03259922154292576,10,2021-02
2021-02-22,1.0069796486815306,-0.02290971750412769,0,1.0,-0.0547621000906506,10,2021-02
2021-02-23,1.005287142862113,7.936507936507937e-05,0,0.0,-0.056350831946776224,0,2021-02
2021-02-24,1.005366927555991,7.936507936507937e-05,0,0.0,-0.0562759391556608,0,2021-02
2021-02-25,1.0054467185819878,7.936507936507937e-05,0,0.0,-0.056201040420673025,0,2021-02
2021-02-26,1.0055265159406055,7.936507936507937e-05,0,0.0,-0.05612613574134122,0,2021-02
2021-03-01,1.0056063196323468,7.936507936507937e-05,1,0.0,-0.0560512251171937,0,2021-03
2021-03-02,0.9927097547670722,-0.011579255552232926,1,1.0,-0.0681570525837746,10,2021-03
2021-03-03,1.0175180527547067,0.024990484749951313,1,1.0,-0.04486984561701964,10,2021-03
2021-03-04,0.9891047995331609,-0.027924077754319133,0,1.0,-0.07154097431350485,10,2021-03
2021-03-05,0.9874423373062274,7.936507936507937e-05,0,0.0,-0.07310150466396696,0,2021-03
2021-03-08,0.9875207057456963,7.936507936507937e-05,0,0.0,-0.07302794129132115,0,2021-03
2021-03-09,0.9875990804048825,7.936507936507937e-05,0,0.0,-0.07295437208031244,0,2021-03
2021-03-10,0.9876774612842798,7.936507936507937e-05,0,0.0,-0.0728807970304775,0,2021-03
2021-03-11,0.9877558483843818,7.936507936507937e-05,1,0.0,-0.07280721614135287,0,2021-03
2021-03-12,0.9833925138531219,-0.0031614054883309928,1,1.0,-0.07690301805187834,10,2021-03
2021-03-15,0.9805508066116524,-0.002889697858625296,0,1.0,-0.07957048942391727,10,2021-03
2021-03-16,0.9789027217187771,7.936507936507937e-05,1,0.0,-0.08111752396930601,0,2021-03
2021-03-17,1.0017161087697581,0.024596051420295098,1,1.0,-0.05970291236903886,10,2021-03
2021-03-18,1.0257353999567018,0.023978142087025544,1,1.0,-0.03715633519780728,10,2021-03
2021-03-19,1.007704386071591,-0.017578621041910027,0,1.0,-0.05408179910396875,10,2021-03
2021-03-22,1.0029725099323359,7.936507936507937e-05,1,0.0,-0.05852354593604926,0,2021-03
2021-03-23,0.9722396706847887,-0.02941882404082559,0,1.0,-0.08737203802488047,10,2021-03
2021-03-24,0.9706055549381029,7.936507936507937e-05,0,0.0,-0.08890595992551523,0,2021-03
2021-03-25,0.9706825871250028,7.936507936507937e-05,0,0.0,-0.0888336508747156,0,2021-03
2021-03-26,0.9707596254255683,7.936507936507937e-05,1,0.0,-0.08876133608510248,0,2021-03
2021-03-29,0.9754410868755382,0.00609014593166828,1,1.0,-0.08436691282613186,10,2021-03
2021-03-30,0.9693047157559742,-0.006290868000259743,1,1.0,-0.09012703971421307,10,2021-03
2021-03-31,0.9648895370589248,-0.004554995581142962,1,1.0,-0.09427150702771625,10,2021-03
2021-04-01,0.9685030852986402,0.00374503826700201,1,1.0,-0.09087951916202111,10,2021-04
2021-04-02,0.9738289886305285,0.005499108276197306,1,1.0,-0.08588016720178457,10,2021-04
2021-04-06,0.9857386261917102,0.012229701210609855,1,1.0,-0.07470075477596981,10,2021-04
2021-04-07,1.0164033640595194,0.031108386191863912,1,1.0,-0.045916188512500386,10,2021-04
2021-04-08,1.0127959912566653,-0.003549154725783454,1,1.0,-0.04930237958083475,10,2021-04
2021-04-09,1.0052114261808145,-0.007488739234088026,0,1.0,-0.056421906150621835,10,2021-04
